value,"Temperature, K",property,unit,cmp_ids_solvent,cmp_mole_fractions_solvent,cmp_ids_drug,cmp_mole_fractions_drug
1.2401,278.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.2715,283.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.303,288.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.3199,293.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.3375,298.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.3662,303.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.3829,308.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.3958,313.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.4104,318.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.429,323.15,Log solubility,g/L,"[126.0, 131.0]","[0.25304, 0.74696]",[0],[1.0]
1.3785,278.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.3948,283.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4135,288.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4255,293.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.442,298.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4516,303.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4643,308.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4777,313.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4904,318.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4974,323.15,Log solubility,g/L,"[126.0, 131.0]","[0.441341, 0.558659]",[0],[1.0]
1.4681,278.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.4782,283.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.487,288.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5026,293.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5081,298.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5216,303.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5288,308.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5358,313.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5436,318.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5518,323.15,Log solubility,g/L,"[126.0, 131.0]","[0.6478839999999999, 0.352116]",[0],[1.0]
1.5126,278.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5218,283.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5353,288.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5425,293.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5535,298.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5639,303.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5691,308.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5837,313.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5903,318.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
1.5971,323.15,Log solubility,g/L,"[126.0, 131.0]","[0.876773, 0.12322699999999999]",[0],[1.0]
0.9666,278.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.0122,283.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.0616,288.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.0989,293.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.1251,298.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.1573,303.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.1926,308.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.2313,313.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.2601,318.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.2977,323.15,Log solubility,g/L,"[127.0, 131.0]","[0.172592, 0.8274079999999999]",[0],[1.0]
1.1802,278.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.2055,283.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.2405,288.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.274,293.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.3134,298.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.3433,303.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.3683,308.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.4033,313.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.4206,318.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.4503,323.15,Log solubility,g/L,"[127.0, 131.0]","[0.44581400000000004, 0.554186]",[0],[1.0]
1.3455,278.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.3702,283.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.3968,288.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.4197,293.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.4447,298.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.4657,303.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.4867,308.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.5103,313.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.5329,318.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.552,323.15,Log solubility,g/L,"[127.0, 131.0]","[0.6522960000000001, 0.347704]",[0],[1.0]
1.4524,278.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.4728,283.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.4976,288.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.5193,293.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.5382,298.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.559,303.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.5758,308.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.5962,313.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.6122,318.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.6266,323.15,Log solubility,g/L,"[127.0, 131.0]","[0.813758, 0.186242]",[0],[1.0]
1.5235,278.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.5457,283.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.566,288.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.5831,293.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.6039,298.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.6248,303.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.6399,308.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.6578,313.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.6729,318.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
1.688,323.15,Log solubility,g/L,"[127.0, 131.0]","[0.944122, 0.055878]",[0],[1.0]
0.9243,278.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
0.9732,283.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.0292,288.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.0608,293.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.102,298.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.1243,303.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.1795,308.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.2068,313.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.2478,318.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.2698,323.15,Log solubility,g/L,"[128.0, 131.0]","[0.063173, 0.936827]",[0],[1.0]
1.2023,278.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.2294,283.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.2493,288.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.2824,293.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.3025,298.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.33,303.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.3437,308.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.3658,313.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.3932,318.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.4026,323.15,Log solubility,g/L,"[128.0, 131.0]","[0.206385, 0.7936150000000001]",[0],[1.0]
1.455,278.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.4653,283.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.4835,288.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.4913,293.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.5061,298.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.5128,303.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.528,308.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.5364,313.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.5491,318.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.5547,323.15,Log solubility,g/L,"[128.0, 131.0]","[0.377421, 0.622579]",[0],[1.0]
1.5709,278.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.5772,283.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.5922,288.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.6048,293.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.6174,298.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.6245,303.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.6376,308.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.6467,313.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.663,318.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.6752,323.15,Log solubility,g/L,"[128.0, 131.0]","[0.585839, 0.414161]",[0],[1.0]
1.6221,278.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.6361,283.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.6459,288.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.6585,293.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.6696,298.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.6804,303.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.693,308.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.7021,313.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.7207,318.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
1.7253,323.15,Log solubility,g/L,"[128.0, 131.0]","[0.8449599999999999, 0.15503999999999998]",[0],[1.0]
-0.0034,283.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.3346,283.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
0.6747,283.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.0099,283.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.1806,283.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.0137,288.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.4029,288.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
0.7428,288.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.0613,288.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.2193,288.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.0529,293.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.4369,293.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
0.7785,293.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.107,293.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.2562,293.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.0908,298.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.4699,298.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
0.8301,298.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.1424,298.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.2954,298.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.1315,303.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.5045,303.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
0.8694,303.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.1818,303.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.3226,303.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.1696,308.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.545,308.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
0.9154,308.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.2217,308.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.3588,308.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.1906,313.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.5824,313.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
0.9545,313.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.2577,313.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.3846,313.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.2305,318.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.6358,318.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
1.0012,318.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.2935,318.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.412,318.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
0.2615,323.15,Log solubility,g/L,"[129.0, 127.0]","[0.2, 0.8]",[1],[1.0]
0.6737,323.15,Log solubility,g/L,"[129.0, 127.0]","[0.4, 0.6]",[1],[1.0]
1.0393,323.15,Log solubility,g/L,"[129.0, 127.0]","[0.6, 0.4]",[1],[1.0]
1.3279,323.15,Log solubility,g/L,"[129.0, 127.0]","[0.8, 0.2]",[1],[1.0]
1.445,323.15,Log solubility,g/L,"[129.0, 127.0]","[0.9, 0.1]",[1],[1.0]
-0.2116,283.15,Log solubility,g/L,"[129.0, 130.0]","[0.4, 0.6]",[1],[1.0]
0.0687,283.15,Log solubility,g/L,"[129.0, 130.0]","[0.5, 0.5]",[1],[1.0]
0.3446,283.15,Log solubility,g/L,"[129.0, 130.0]","[0.6, 0.4]",[1],[1.0]
0.587,283.15,Log solubility,g/L,"[129.0, 130.0]","[0.7, 0.3]",[1],[1.0]
0.8376,283.15,Log solubility,g/L,"[129.0, 130.0]","[0.8, 0.2]",[1],[1.0]
1.0901,283.15,Log solubility,g/L,"[129.0, 130.0]","[0.9, 0.1]",[1],[1.0]
-0.1816,288.15,Log solubility,g/L,"[129.0, 130.0]","[0.4, 0.6]",[1],[1.0]
0.1354,288.15,Log solubility,g/L,"[129.0, 130.0]","[0.5, 0.5]",[1],[1.0]
0.4077,288.15,Log solubility,g/L,"[129.0, 130.0]","[0.6, 0.4]",[1],[1.0]
