value,"Temperature, K",property,unit,cmp_ids_solvent,cmp_mole_fractions_solvent,cmp_ids_drug,cmp_mole_fractions_drug,Solvent1_id,Solvent1_frac,Solvent2_id,Solvent2_frac,Solvent1_name,Solvent2_name,drug_mol,Solvent1_smiles,Solvent2_smiles,Solvent1_mol,Solvent2_mol,drug_HBA,drug_HBD,drug_logP,drug_TPSA,Solvent1_HBA,Solvent1_HBD,Solvent1_logP,Solvent1_TPSA,Solvent2_HBA,Solvent2_HBD,Solvent2_logP,Solvent2_TPSA,Solvent1_Dielectric,Solvent1_δD,Solvent1_δP,Solvent1_δH,Solvent2_Dielectric,Solvent2_δD,Solvent2_δP,Solvent2_δH,drug_δD,drug_δP,drug_δH,Solvent1_Solvent2_Ra,drug_Dielectric,drug_fp,Solvent1_fp,Solvent2_fp,ILR_coordinate,weighted_HBA,weighted_HBD,weighted_logP,weighted_TPSA,weighted_Dielectric,weighted_fp
-1.7381,278.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FAE30>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7D10>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF26C0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,35.116570656728335,16.056910569105693,8.943089430894311,22.766110897241116,85.76291375,15.752032520325205,16.260162601626018,49.63950984295357,17.276422764227643,8.130081300813009,8.214576096942672,27.85840866201395,8.326486193539106,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2DC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394190>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,81.25118556822207,[0. 0. 0. ... 0. 0. 0.]
-1.6275,283.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FA8F0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E6B90>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF2730>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,32.09412904296456,15.991902834008098,8.906882591093119,21.873438920639888,83.83175999999999,15.68825910931174,16.194331983805668,47.69311682180759,17.206477732793523,8.097165991902834,7.892477961,26.83526567070996,8.243636271628136,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2B20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394200>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,79.22281662,[0. 0. 0. ... 0. 0. 0.]
-1.5154,288.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FAA40>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7BC0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF23B0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,29.331825396484348,15.92741935483871,8.870967741935484,21.015769112894198,81.94548125,15.625,16.129032258064516,45.823042962650746,17.137096774193548,8.064516129032258,7.583009473724711,25.854325870960757,8.161610720214046,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF3610>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799884A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394270>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,77.25849894560126,[0. 0. 0. ... 0. 0. 0.]
-1.4112,293.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FAAB0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E69D0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF0350>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,26.807269950777656,15.863453815261046,8.835341365461849,20.191729019332328,80.10301999999999,15.562248995983936,16.06425702811245,44.026295748338015,17.06827309236948,8.032128514056225,7.285675419346718,24.913985835063865,8.080401336673344,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2D50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793942E0>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,75.35527469836511,[0. 0. 0. ... 0. 0. 0.]
-1.302,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FA570>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7E60>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF0120>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,24.5,15.8,8.8,19.4,78.30331874999999,15.5,16,42.3,17,8,7,24.012704970494262,8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF3370>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799883C0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394350>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,73.51035770579374,[0. 0. 0. ... 0. 0. 0.]
-1.1993,303.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FA6C0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7060>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF28F0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,22.39131403914509,15.737051792828685,8.764940239043826,18.639315119555068,76.54531999999999,15.43824701195219,15.936254980079681,40.64139327614327,16.932270916334662,7.968127490039841,6.725526074066262,23.14900290535021,7.920398669993345,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2B90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793943C0>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,71.72111868698914,[0. 0. 0. ... 0. 0. 0.]
-1.101,308.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789FA730>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E76F0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF04A0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,20.464120179576163,15.674603174603176,8.730158730158731,17.90845711990073,74.82796625,15.376984126984127,15.873015873015873,39.04782145215469,16.865079365079367,7.936507936507937,6.461814425,22.321456962417553,7.841589386454042,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799882E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394430>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,69.98507175050844,[0. 0. 0. ... 0. 0. 0.]
-1.0104,313.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F92A0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E5EE0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF0200>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,18.702797611252905,15.612648221343873,8.695652173913043,17.206256472312855,73.1502,15.316205533596838,15.810276679841897,37.516734473135756,16.798418972332016,7.905138339920948,6.208443057020102,21.528699718068186,7.763564268388065,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793944A0>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,68.29986205300324,[0. 0. 0. ... 0. 0. 0.]
-0.9151,318.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F98C0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E44A0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF27A0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,17.09306998874026,15.551181102362206,8.661417322834646,16.53158951,71.51096374999999,15.255905511811024,15.748031496062993,36.045682273270735,16.73228346456693,7.874015748031496,5.965006522763479,20.76941664249423,7.686315513218585,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF2340>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394510>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,66.66325452006568,[0. 0. 0. ... 0. 0. 0.]
-0.8285,323.15,Log solubility,g/L,"[130.0, 129.0]","[0.08908300000000001, 0.910917]",[49],[1.0],130,0.089083,129,0.910917,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F9930>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7CA0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF02E0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,15.621889714733447,15.490196078431373,8.627450980392156,15.883376609712846,69.90920000000001,15.196078431372548,15.686274509803921,34.632310855198625,16.666666666666664,7.8431372549019605,5.731115271545873,20.04234381808106,7.609835396005712,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF27A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394580>,-1.643940722,0.089083,0.089083,-0.751357966,30.49603459,65.07312353785761,[0. 0. 0. ... 0. 0. 0.]
-1.1112,278.15,Log solubility,g/L,"[130.0, 129.0]","[0.14357699999999998, 0.856423]",[49],[1.0],130,0.14357699999999998,129,0.856423,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F85F0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E4270>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF29D0>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,35.116570656728335,16.056910569105693,8.943089430894311,22.766110897241116,85.76291375,15.752032520325205,16.260162601626018,49.63950984295357,17.276422764227643,8.130081300813009,8.214576096942672,27.85840866201395,8.326486193539106,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF20A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793945F0>,-1.262817006,0.14357699999999998,0.14357699999999998,-0.706493056,29.881887210000002,78.49126374769733,[0. 0. 0. ... 0. 0. 0.]
-1.0145,283.15,Log solubility,g/L,"[130.0, 129.0]","[0.14357699999999998, 0.856423]",[49],[1.0],130,0.14357699999999998,129,0.856423,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F8890>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E42E0>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF2420>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,32.09412904296456,15.991902834008098,8.906882591093119,21.873438920639888,83.83175999999999,15.68825910931174,16.194331983805668,47.69311682180759,17.206477732793523,8.097165991902834,7.892477961,26.83526567070996,8.243636271628136,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF22D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208799880B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394660>,-1.262817006,0.14357699999999998,0.14357699999999998,-0.706493056,29.881887210000002,76.40342616008172,[0. 0. 0. ... 0. 0. 0.]
-0.9057,288.15,Log solubility,g/L,"[130.0, 129.0]","[0.14357699999999998, 0.856423]",[49],[1.0],130,0.14357699999999998,129,0.856423,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F8820>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E7990>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF3290>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,29.331825396484348,15.92741935483871,8.870967741935484,21.015769112894198,81.94548125,15.625,16.129032258064516,45.823042962650746,17.137096774193548,8.064516129032258,7.583009473724711,25.854325870960757,8.161610720214046,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF1FC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879988040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793946D0>,-1.262817006,0.14357699999999998,0.14357699999999998,-0.706493056,29.881887210000002,74.39137038351979,[0. 0. 0. ... 0. 0. 0.]
-0.8006,293.15,Log solubility,g/L,"[130.0, 129.0]","[0.14357699999999998, 0.856423]",[49],[1.0],130,0.14357699999999998,129,0.856423,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F8040>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E4660>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF1310>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,26.807269950777656,15.863453815261046,8.835341365461849,20.191729019332328,80.10301999999999,15.562248995983936,16.06425702811245,44.026295748338015,17.06827309236948,8.032128514056225,7.285675419346718,24.913985835063865,8.080401336673344,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF1D90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879989FC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879394740>,-1.262817006,0.14357699999999998,0.14357699999999998,-0.706493056,29.881887210000002,72.4509761,[0. 0. 0. ... 0. 0. 0.]
-0.7023,298.15,Log solubility,g/L,"[130.0, 129.0]","[0.14357699999999998, 0.856423]",[49],[1.0],130,0.14357699999999998,129,0.856423,Ethanol,Water,<rdkit.Chem.rdchem.Mol object at 0x00000208789F9BD0>,OCC,O,<rdkit.Chem.rdchem.Mol object at 0x00000208793E6500>,<rdkit.Chem.rdchem.Mol object at 0x0000020878BF1690>,3,1,3.2081000000000017,72.24000000000001,1,1,-0.0014,20.23,0,0,-0.8247,31.5,24.5,15.8,8.8,19.4,78.30331874999999,15.5,16,42.3,17,8,7,24.012704970494262,8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020878AF1B60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000020879989D20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000208793947B0>,-1.262817006,0.14357699999999998,0.14357699999999998,-0.706493056,29.881887210000002,70.57839965383124,[0. 0. 0. ... 0. 0. 0.]
